3412873,50,-,35,35,37,-,8678.9
2472161,50,-,35,35,37,-,25605
2625281,50,-,35,35,37,-,24171.7
2201411,50,-,35,35,37,-,20057.7
2152543,50,-,35,35,37,-,36212.9
3157153,50,-,35,35,37,-,8370.26
2138761,50,-,35,35,37,-,20874.2
2725103,50,-,35,35,37,-,20255.5
2879483,50,-,35,35,37,-,23009.3
3421771,50,-,35,35,37,-,6880.5
2287829,50,-,35,35,37,-,28557.1
2444861,50,-,35,35,37,-,28947.8
3077909,50,-,35,35,37,-,10292.2
3789943,50,-,35,35,37,-,3092.02
2312657,50,-,35,35,37,-,29915.6
2672713,50,-,35,35,37,-,13023.3
3300083,50,-,35,35,37,-,9823.08
2297527,50,-,35,35,37,-,32231.3
2978347,50,-,35,35,37,-,17380.8
2328593,50,-,35,35,37,-,56712.2
2215511,50,-,35,35,37,-,29207.7
2473753,50,-,35,35,37,-,21464
3102647,50,-,35,35,37,-,9565.5
4022947,50,-,35,35,37,-,1218.38
3222311,50,-,35,35,37,-,7697.22
2598097,50,-,35,35,37,-,21536.7
2754511,50,-,35,35,37,-,22378.2
2299861,50,-,35,35,37,-,32104.7
2526431,50,-,35,35,37,-,22853.8
2953943,50,-,35,35,37,-,17372.4
2327489,50,-,35,35,37,-,32204.2
3683591,50,-,35,35,37,-,2824.08
2227811,50,-,35,35,37,-,34792.6
2405597,50,-,35,35,37,-,16861
2633567,50,-,35,35,37,-,24380.9
2483177,50,-,35,35,37,-,27326.6
2456543,50,-,35,35,37,-,36562.1
3125383,50,-,35,35,37,-,17581.5
2343703,50,-,35,35,37,-,38031.2
2388149,50,-,35,35,37,-,38164.9
3331529,50,-,35,35,37,-,9458.54
3798601,50,-,35,35,37,-,4382.58
3654223,50,-,35,35,37,-,4428.36
2397679,50,-,35,35,37,-,47114.8
2340539,50,-,35,35,37,-,37338.4
2401141,50,-,35,35,37,-,25261
2324923,50,-,35,35,37,-,38176
2320469,50,-,35,35,37,-,47855.9
3218821,50,-,35,35,37,-,11070
2475637,50,-,35,35,37,-,24087.1
2454689,50,-,35,35,37,-,18940.5
2339599,50,-,35,35,37,-,43148.8
3146851,50,-,35,35,37,-,13360.6
2300849,50,-,35,35,37,-,59357.6
2718913,50,-,35,35,37,-,17715.8
2698873,50,-,35,35,37,-,15770.4
