3412873,50,-,21,21,23,-,4,5,14,15,-,11326
2472161,50,-,21,21,23,-,4,5,14,15,-,28512.9
2625281,50,-,21,21,23,-,4,5,14,15,-,48286.9
2201411,50,-,21,21,23,-,4,5,14,15,-,18907.3
2152543,50,-,21,21,23,-,4,5,14,15,-,31640
3157153,50,-,21,21,23,-,4,5,14,15,-,22818.3
2138761,50,-,21,21,23,-,4,5,14,15,-,4990.14
2725103,50,-,21,21,23,-,4,5,14,15,-,11427
2879483,50,-,21,21,23,-,4,5,14,15,-,12772.4
3421771,50,-,21,21,23,-,4,5,14,15,-,7791.36
2287829,50,-,21,21,23,-,4,5,14,15,-,38164.9
2444861,50,-,21,21,23,-,4,5,14,15,-,17130.1
3077909,50,-,21,21,23,-,4,5,14,15,-,8793.4
3789943,50,-,21,21,23,-,4,5,14,15,-,13695.5
2312657,50,-,21,21,23,-,4,5,14,15,-,29454.4
2672713,50,-,21,21,23,-,4,5,14,15,-,16774.2
3300083,50,-,21,21,23,-,4,5,14,15,-,7885.08
2297527,50,-,21,21,23,-,4,5,14,15,-,13311
2978347,50,-,21,21,23,-,4,5,14,15,-,44630.6
2328593,50,-,21,21,23,-,4,5,14,15,-,9037.76
2215511,50,-,21,21,23,-,4,5,14,15,-,83144.5
2473753,50,-,21,21,23,-,4,5,14,15,-,4979.18
3102647,50,-,21,21,23,-,4,5,14,15,-,11984.1
4022947,50,-,21,21,23,-,4,5,14,15,-,340.42
3222311,50,-,21,21,23,-,4,5,14,15,-,1259.08
2598097,50,-,21,21,23,-,4,5,14,15,-,62446.2
2754511,50,-,21,21,23,-,4,5,14,15,-,25592.1
2299861,50,-,21,21,23,-,4,5,14,15,-,233314
2526431,50,-,21,21,23,-,4,5,14,15,-,7310.46
2953943,50,-,21,21,23,-,4,5,14,15,-,5434.28
2327489,50,-,21,21,23,-,4,5,14,15,-,10385.1
3683591,50,-,21,21,23,-,4,5,14,15,-,13203.9
2227811,50,-,21,21,23,-,4,5,14,15,-,9608.4
2405597,50,-,21,21,23,-,4,5,14,15,-,6271.34
2633567,50,-,21,21,23,-,4,5,14,15,-,12479.1
2483177,50,-,21,21,23,-,4,5,14,15,-,33286.8
2456543,50,-,21,21,23,-,4,5,14,15,-,11993.3
3125383,50,-,21,21,23,-,4,5,14,15,-,11137.4
2343703,50,-,21,21,23,-,4,5,14,15,-,13380.1
2388149,50,-,21,21,23,-,4,5,14,15,-,75090
3331529,50,-,21,21,23,-,4,5,14,15,-,27341.3
3798601,50,-,21,21,23,-,4,5,14,15,-,10974.6
3654223,50,-,21,21,23,-,4,5,14,15,-,2028.12
2397679,50,-,21,21,23,-,4,5,14,15,-,7570.5
2340539,50,-,21,21,23,-,4,5,14,15,-,6473.6
2401141,50,-,21,21,23,-,4,5,14,15,-,11102.8
2324923,50,-,21,21,23,-,4,5,14,15,-,13583.9
2320469,50,-,21,21,23,-,4,5,14,15,-,3981.66
3218821,50,-,21,21,23,-,4,5,14,15,-,11769
2475637,50,-,21,21,23,-,4,5,14,15,-,48045
2454689,50,-,21,21,23,-,4,5,14,15,-,6417.04
2339599,50,-,21,21,23,-,4,5,14,15,-,6434.32
3146851,50,-,21,21,23,-,4,5,14,15,-,3932.82
2300849,50,-,21,21,23,-,4,5,14,15,-,2950.86
2718913,50,-,21,21,23,-,4,5,14,15,-,67620.6
2698873,50,-,21,21,23,-,4,5,14,15,-,18600.7
