158465501,50,-,47,47,49,-,2.25462e+06
148884293,50,-,47,47,49,-,2.58775e+06
180863911,50,-,47,47,49,-,1.15664e+06
161766769,50,-,47,47,49,-,941984
197511997,50,-,47,47,49,-,307274
168836131,50,-,47,47,49,-,1.04215e+06
175200019,50,-,47,47,49,-,771180
140253577,50,-,47,47,49,-,2.46109e+06
181627717,50,-,47,47,49,-,731846
207313741,50,-,47,47,49,-,838556
145154767,50,-,47,47,49,-,2.10659e+06
171533377,50,-,47,47,49,-,539830
199428869,50,-,47,47,49,-,1.56354e+06
214026149,50,-,47,47,49,-,429787
137961487,50,-,47,47,49,-,1.61053e+06
157146883,50,-,47,47,49,-,2.90524e+06
141300877,50,-,47,47,49,-,2.60637e+06
201362107,50,-,47,47,49,-,700396
226974751,50,-,47,47,49,-,347888
182246387,50,-,47,47,49,-,991330
216802387,50,-,47,47,49,-,575076
182177441,50,-,47,47,49,-,1.42469e+06
220579943,50,-,47,47,49,-,508445
136500677,50,-,47,47,49,-,2.3193e+06
206583527,50,-,47,47,49,-,478542
159063353,50,-,47,47,49,-,2.29755e+06
202103563,50,-,47,47,49,-,849235
178120301,50,-,47,47,49,-,1.20709e+06
196681319,50,-,47,47,49,-,587520
244891301,50,-,47,47,49,-,87392.6
156803809,50,-,47,47,49,-,1.83086e+06
188484269,50,-,47,47,49,-,1.50772e+06
165264961,50,-,47,47,49,-,2.00228e+06
157017137,50,-,47,47,49,-,1.44745e+06
137864213,50,-,47,47,49,-,1.03932e+06
189944509,50,-,47,47,49,-,507637
144052409,50,-,47,47,49,-,2.40224e+06
164150297,50,-,47,47,49,-,1.75318e+06
203176531,50,-,47,47,49,-,447177
173123023,50,-,47,47,49,-,1.12604e+06
160528597,50,-,47,47,49,-,2.52876e+06
185460851,50,-,47,47,49,-,957472
170307413,50,-,47,47,49,-,2.3209e+06
192245507,50,-,47,47,49,-,1.32273e+06
238709689,50,-,47,47,49,-,247151
175305451,50,-,47,47,49,-,1.4752e+06
249499927,50,-,47,47,49,-,152733
249525457,50,-,47,47,49,-,146658
185973547,50,-,47,47,49,-,827782
165978181,50,-,47,47,49,-,1.80394e+06
139046233,50,-,47,47,49,-,4.07233e+06
146582621,50,-,47,47,49,-,1.81672e+06
178531471,50,-,47,47,49,-,993422
165832453,50,-,47,47,49,-,1.27721e+06
181897171,50,-,47,47,49,-,679802
136878551,50,-,47,47,49,-,1.99643e+06
159483767,50,-,47,47,49,-,2.08203e+06
