45895349,4559.5,2770.5,1789,7330
37147073,421222.5,216904.5,204318,638127
38397049,25974.5,14093.5,40068,11881
41187929,35662.0,401.0,35261,36063
37966561,71389.5,49614.5,121004,21775
50512703,12937.0,11891.0,1046,24828
35513921,14232.5,3223.5,11009,17456
41992571,3087.5,2244.5,5332,843
49711747,20777.5,12859.5,7918,33637
51008057,8957.5,1461.5,7496,10419
49598191,4300.0,3433.0,867,7733
47164703,44751.0,583.0,44168,45334
55452823,7890.5,5396.5,2494,13287
59219767,4431.0,4294.0,8725,137
40459889,219437.0,170205.0,49232,389642
47743651,3184.5,855.5,4040,2329
51741259,14329.0,4905.0,19234,9424
43805831,21557.5,9101.5,30659,12456
61338763,18528.5,7422.5,25951,11106
52987579,3404.5,251.5,3656,3153
48073843,7796.5,5649.5,2147,13446
35510017,151765.5,100913.5,252679,50852
46163119,11068.5,8054.5,3014,19123
36845233,28108.0,13763.0,14345,41871
44155841,12320.0,11138.0,1182,23458
48797393,2048.5,487.5,1561,2536
55832443,4315.0,2288.0,6603,2027
56040827,5010.5,2969.5,2041,7980
52575007,38216.5,10506.5,27710,48723
42379529,44893.0,22887.0,22006,67780
40639657,18908.0,6054.0,12854,24962
35989501,1776.5,229.5,2006,1547
57477923,3144.5,2045.5,5190,1099
34816343,55948.0,47498.0,8450,103446
41596703,91666.5,70420.5,21246,162087
44382601,20809.5,15107.5,5702,35917
55298153,20804.0,11110.0,9694,31914
46100143,134992.0,44775.0,90217,179767
49833457,223328.5,48267.5,175061,271596
34390493,686046.5,679444.5,6602,1365491
45579887,21838.0,18933.0,2905,40771
42747569,224769.0,150833.0,375602,73936
45960479,39695.5,2585.5,42281,37110
39570313,2299.0,183.0,2116,2482
38808353,19359.0,5083.0,14276,24442
36561013,14897.5,6701.5,21599,8196
35111723,32235.5,3749.5,35985,28486
40146713,58816.5,49195.5,108012,9621
39401519,10832.0,222.0,10610,11054
43615993,40756.0,19731.0,60487,21025
34899197,94268.0,76128.0,18140,170396
37669067,232733.5,172792.5,59941,405526
37062677,50281.5,9040.5,41241,59322
48092087,6719.5,5441.5,12161,1278
36701377,10096.5,7214.5,2882,17311
38192053,19266.0,286.0,18980,19552
41105171,42152.5,25897.5,68050,16255
34107943,52453.5,21494.5,73948,30959
57107093,58853.0,8216.0,50637,67069
33749627,33010.0,1598.0,34608,31412
39626803,106285.5,78416.5,27869,184702
45409321,12544.0,2957.0,15501,9587
48690569,27613.0,8033.0,35646,19580
39303743,8823.0,3977.0,4846,12800
42415073,89035.0,67155.0,21880,156190
46691009,32089.0,8605.0,40694,23484
57380429,61350.5,46011.5,107362,15339
35342497,29884.0,20371.0,50255,9513
49532359,79649.0,25941.0,105590,53708
44455769,56411.5,17807.5,74219,38604
38523851,401179.0,211546.0,189633,612725
34881559,138675.0,13039.0,125636,151714
39825523,131577.5,14152.5,117425,145730
