0.000000000000000000e+00,2.028200000000000000e+04
1.075268817204301161e-02,5.628500000000000000e+04
2.150537634408602322e-02,5.875500000000000000e+04
3.225806451612903136e-02,6.830500000000000000e+04
4.301075268817204644e-02,1.393450000000000000e+05
5.376344086021506152e-02,1.820870000000000000e+05
6.451612903225806273e-02,2.892390000000000000e+05
7.526881720430107781e-02,3.796160000000000000e+05
8.602150537634409289e-02,3.882010000000000000e+05
9.677419354838710797e-02,4.300170000000000000e+05
1.075268817204301230e-01,4.387390000000000000e+05
1.182795698924731242e-01,6.152240000000000000e+05
1.290322580645161255e-01,7.237500000000000000e+05
1.397849462365591544e-01,8.979660000000000000e+05
1.505376344086021556e-01,9.354060000000000000e+05
1.612903225806451846e-01,1.049129000000000000e+06
1.720430107526881858e-01,1.092643000000000000e+06
1.827956989247311870e-01,1.093150000000000000e+06
1.935483870967742159e-01,1.118207000000000000e+06
2.043010752688172171e-01,1.161972000000000000e+06
2.150537634408602461e-01,1.285809000000000000e+06
2.258064516129032473e-01,1.313730000000000000e+06
2.365591397849462485e-01,1.676535000000000000e+06
2.473118279569892775e-01,1.930832000000000000e+06
2.580645161290322509e-01,2.129998000000000000e+06
2.688172043010753076e-01,2.344966000000000000e+06
2.795698924731183088e-01,2.815363000000000000e+06
2.903225806451613100e-01,2.939208000000000000e+06
3.010752688172043112e-01,3.119661000000000000e+06
3.118279569892473124e-01,3.290944000000000000e+06
3.225806451612903691e-01,3.346456000000000000e+06
3.333333333333333703e-01,3.412668000000000000e+06
3.440860215053763715e-01,3.505984000000000000e+06
3.548387096774193727e-01,3.606055000000000000e+06
3.655913978494623739e-01,4.299659000000000000e+06
3.763440860215054307e-01,4.345580000000000000e+06
3.870967741935484319e-01,4.420390000000000000e+06
3.978494623655914331e-01,4.605024000000000000e+06
4.086021505376344343e-01,5.150073000000000000e+06
4.193548387096774355e-01,5.157093000000000000e+06
4.301075268817204922e-01,5.969074000000000000e+06
4.408602150537634934e-01,6.115047000000000000e+06
4.516129032258064946e-01,6.168145000000000000e+06
4.623655913978494958e-01,6.278384000000000000e+06
4.731182795698924970e-01,6.922550000000000000e+06
4.838709677419354982e-01,7.045217000000000000e+06
4.946236559139785549e-01,7.356190000000000000e+06
5.053763440860215006e-01,8.125126000000000000e+06
5.161290322580645018e-01,9.074485000000000000e+06
5.268817204301076140e-01,9.213607000000000000e+06
5.376344086021506152e-01,9.929010000000000000e+06
5.483870967741936164e-01,1.034508300000000000e+07
5.591397849462366176e-01,1.060792700000000000e+07
5.698924731182796188e-01,1.063475600000000000e+07
5.806451612903226200e-01,1.069167600000000000e+07
5.913978494623656212e-01,1.089215300000000000e+07
6.021505376344086224e-01,1.102926700000000000e+07
6.129032258064516236e-01,1.291839700000000000e+07
6.236559139784946248e-01,1.357219000000000000e+07
6.344086021505377371e-01,1.379154900000000000e+07
6.451612903225807383e-01,1.680044400000000000e+07
6.559139784946237395e-01,1.889547200000000000e+07
6.666666666666667407e-01,1.919378400000000000e+07
6.774193548387097419e-01,1.952134100000000000e+07
6.881720430107527431e-01,2.192874100000000000e+07
6.989247311827957443e-01,2.427884900000000000e+07
7.096774193548387455e-01,2.550736500000000000e+07
7.204301075268817467e-01,2.575464800000000000e+07
7.311827956989247479e-01,3.199211200000000000e+07
7.419354838709677491e-01,3.304659800000000000e+07
7.526881720430108613e-01,3.784000700000000000e+07
7.634408602150538625e-01,3.884043500000000000e+07
7.741935483870968637e-01,3.954330800000000000e+07
7.849462365591398649e-01,3.978560200000000000e+07
7.956989247311828661e-01,4.354510400000000000e+07
8.064516129032258673e-01,4.884425500000000000e+07
8.172043010752688685e-01,5.222492400000000000e+07
8.279569892473118697e-01,6.183303400000000000e+07
8.387096774193548709e-01,6.261081400000000000e+07
8.494623655913978721e-01,6.548294500000000000e+07
8.602150537634409844e-01,7.302367300000000000e+07
8.709677419354839856e-01,7.376547200000000000e+07
8.817204301075269868e-01,7.925915000000000000e+07
8.924731182795699880e-01,7.960450300000000000e+07
9.032258064516129892e-01,9.289708900000000000e+07
9.139784946236559904e-01,9.779187200000000000e+07
9.247311827956989916e-01,1.047852760000000000e+08
9.354838709677419928e-01,1.070525790000000000e+08
9.462365591397849940e-01,1.088754410000000000e+08
9.569892473118279952e-01,1.102088720000000000e+08
9.677419354838709964e-01,1.112687570000000000e+08
9.784946236559141086e-01,1.118138260000000000e+08
9.892473118279571098e-01,1.591331020000000000e+08
1.000000000000000000e+00,2.774605920000000000e+08
