3374149,3464.5,525.5,2939,3990
2570041,25699.0,17650.0,8049,43349
2186123,17196.5,8360.5,8836,25557
2345587,59902.5,16932.5,76835,42970
2718271,4522.5,531.5,5054,3991
2219237,36033.0,26693.0,9340,62726
2409139,30679.0,25588.0,56267,5091
3138463,4764.0,4111.0,653,8875
3412873,9405.5,1564.5,7841,10970
2472161,7931.5,3903.5,11835,4028
2625281,17042.5,13653.5,30696,3389
2201411,16409.5,16140.5,32550,269
2152543,31267.0,20701.0,51968,10566
3157153,7430.0,3668.0,3762,11098
2138761,57198.5,44250.5,101449,12948
2725103,14763.5,5733.5,9030,20497
2879483,11028.0,9346.0,20374,1682
3421771,9346.0,830.0,10176,8516
2287829,17892.0,5532.0,12360,23424
2444861,22050.5,7068.5,14982,29119
3077909,11955.0,7514.0,4441,19469
3789943,787.0,779.0,8,1566
2312657,14887.5,1081.5,13806,15969
2672713,7917.0,2596.0,10513,5321
3300083,8012.5,4314.5,12327,3698
2297527,22330.5,11396.5,33727,10934
2978347,7139.0,4461.0,11600,2678
2328593,36578.0,11373.0,25205,47951
2215511,24984.0,21316.0,3668,46300
2473753,15724.0,6546.0,9178,22270
3102647,3179.0,745.0,3924,2434
4022947,622.0,295.0,327,917
3222311,13828.0,11376.0,2452,25204
2598097,8549.0,2533.0,11082,6016
2754511,522.5,124.5,647,398
2299861,47119.5,18153.5,65273,28966
2526431,30462.5,8048.5,38511,22414
2953943,15818.5,15576.5,31395,242
2327489,11540.0,6707.0,18247,4833
3683591,2804.0,2026.0,4830,778
2227811,3158.5,3112.5,6271,46
2405597,20078.5,17826.5,2252,37905
2633567,56628.0,26438.0,83066,30190
2483177,44410.0,26939.0,71349,17471
2456543,54408.0,48179.0,102587,6229
3125383,20210.0,1709.0,21919,18501
2343703,36813.5,1576.5,35237,38390
2388149,18296.0,2114.0,20410,16182
3331529,16276.0,15091.0,1185,31367
3798601,5357.5,527.5,4830,5885
3654223,2405.5,890.5,3296,1515
2397679,6479.0,971.0,5508,7450
2340539,22232.0,16075.0,38307,6157
2401141,6458.5,3948.5,10407,2510
2324923,57202.0,31995.0,25207,89197
2320469,36094.5,8849.5,27245,44944
3218821,13567.5,9016.5,22584,4551
2475637,36651.5,26045.5,10606,62697
2454689,22369.0,20071.0,42440,2298
2339599,51501.0,8009.0,59510,43492
3146851,7490.0,6975.0,515,14465
2300849,8593.5,1770.5,10364,6823
2718913,50935.5,9994.5,40941,60930
2698873,32180.5,7811.5,24369,39992
2531201,36412.5,14276.5,50689,22136
3180449,4746.5,3279.5,8026,1467
2216393,38165.5,9043.5,29122,47209
2319131,19747.0,14588.0,5159,34335
2431129,67360.0,14885.0,52475,82245
3869303,2046.0,210.0,2256,1836
3298993,5957.5,5655.5,11613,302
3008279,11128.0,1281.0,12409,9847
2264701,44620.5,1619.5,46240,43001
2807627,6781.0,3041.0,3740,9822
2853839,59777.5,19304.5,40473,79082
3608413,6714.0,2319.0,4395,9033
2727509,35558.5,17489.5,18069,53048
2098273,25998.5,19873.5,45872,6125
2461687,57533.0,3649.0,61182,53884
3727583,2528.5,2337.5,4866,191
3329329,1182.5,818.5,364,2001
2253403,23168.0,14248.0,37416,8920
3583253,561.5,304.5,257,866
3408397,5705.0,2316.0,8021,3389
2847821,83146.5,40274.5,42872,123421
2169551,18606.0,13094.0,31700,5512
3315941,1584.5,223.5,1361,1808
2707337,5124.0,2791.0,2333,7915
2141869,141031.5,112.5,140919,141144
3788693,189.5,48.5,238,141
4051913,151.0,89.0,62,240
2761867,11784.0,2898.0,14682,8886
2122051,145294.5,94629.5,239924,50665
2132443,37046.5,30671.5,67718,6375
3682919,3277.0,807.0,4084,2470
3361573,17856.5,4350.5,13506,22207
2221327,75619.5,36826.5,112446,38793
2676251,13632.0,5750.0,7882,19382
2907449,6426.5,1641.5,8068,4785
2449771,10255.0,5866.0,4389,16121
2280049,27618.5,9644.5,17974,37263
3200633,2698.5,2384.5,5083,314
2142071,100787.5,12709.5,88078,113497
2114863,87813.5,37893.5,125707,49920
2568607,20935.5,14705.5,35641,6230
3200377,7646.5,4090.5,3556,11737
3252719,16724.0,15751.0,32475,973
2431801,4461.5,2621.5,7083,1840
2706833,33408.5,13192.5,20216,46601
3114703,55248.5,33898.5,89147,21350
2302031,69327.0,33263.0,102590,36064
3061771,5737.5,841.5,4896,6579
2614259,4945.5,4442.5,503,9388
2472763,71638.0,19981.0,91619,51657
2550377,7364.5,1446.5,5918,8811
2187487,32920.5,26006.5,6914,58927
3193369,32552.5,26093.5,58646,6459
2996501,10165.5,667.5,9498,10833
2740939,27983.5,25813.5,2170,53797
2774533,8076.0,4354.0,12430,3722
3275659,5046.5,4979.5,67,10026
3213173,8966.5,8563.5,403,17530
2695939,19261.5,12634.5,31896,6627
3812491,2008.5,1955.5,3964,53
2481463,16451.5,9324.5,25776,7127
2445007,29736.0,8115.0,37851,21621
2310307,42426.0,7467.0,34959,49893
2201863,21466.5,17378.5,38845,4088
2852561,32264.0,28742.0,3522,61006
3099521,8026.0,7047.0,15073,979
2269523,20813.0,6460.0,27273,14353
2367853,21461.0,13073.0,34534,8388
3198233,18280.0,6813.0,11467,25093
3583969,6433.0,4427.0,2006,10860
2137693,20992.5,11785.5,32778,9207
2566873,12133.5,6718.5,18852,5415
2893153,8910.5,5851.5,3059,14762
2839147,3483.0,675.0,4158,2808
2469977,19648.5,1628.5,21277,18020
2303761,79418.0,48398.0,31020,127816
2896583,6204.0,4502.0,1702,10706
3029011,17602.5,4505.5,13097,22108
3892729,624.5,51.5,676,573
2758351,7347.0,623.0,7970,6724
2756353,25539.0,15528.0,10011,41067
2180599,29053.5,25037.5,4016,54091
2408059,13897.0,6484.0,20381,7413
2290601,37017.5,3015.5,40033,34002
3172769,2594.0,1247.0,1347,3841
3084457,14040.5,1431.5,12609,15472
2910431,30352.0,19109.0,11243,49461
3035933,3528.0,4.0,3524,3532
2276891,26786.5,12433.5,39220,14353
3698867,3394.0,1712.0,5106,1682
3326317,4647.5,3107.5,7755,1540
2865349,13289.5,7123.5,6166,20413
2724431,12944.5,12724.5,220,25669
3454559,7694.5,54.5,7749,7640
2384807,11103.0,1304.0,9799,12407
2892529,21313.0,20545.0,41858,768
2188057,17691.0,11547.0,6144,29238
2785933,21630.5,20978.5,42609,652
2796389,7475.5,1206.5,6269,8682
2233729,99736.5,92302.5,192039,7434
2123189,42640.0,18197.0,24443,60837
2508887,30351.5,7837.5,38189,22514
2197717,32033.5,31809.5,63843,224
3471289,1189.0,681.0,508,1870
2224549,18666.5,14162.5,32829,4504
3230839,19612.5,14785.5,34398,4827
