527719,3994.9,3007.334515812965,129,2591,594,7254,8722,537,6929,6598,2716,3879
529583,4143.5,2502.016316893237,2859,1046,3780,302,8523,2418,7633,4650,5094,5130
529481,8004.8,5974.896748898679,8516,6403,6052,12445,8597,3257,3223,23094,442,8019
573581,5667.2,9383.466201782794,4803,517,2570,525,33194,3026,433,6357,4368,879
576833,18473.7,14466.325850401683,25137,24736,15362,4968,39929,46678,5747,10399,2942,8839
638237,2214.6,1778.440845234949,1228,492,4199,893,905,1766,3620,1061,1703,6279
756851,2907.1,2271.796401528975,6026,3317,1531,348,647,4731,2278,452,7184,2557
1017937,27.9,28.328254446753334,15,101,5,16,26,9,14,60,18,15
533087,2883.6,2158.4139640022713,1650,7186,3125,922,1664,4236,5398,605,3806,244
588139,2177.9,1537.3525587840934,5012,4679,869,2398,2510,2397,280,1899,1263,472
725911,3383.1,2290.9689849493816,2389,6631,5973,2691,6750,671,4304,136,1594,2692
637057,6540.0,4397.698329808447,12544,11521,626,5051,10254,8937,7311,189,8118,849
621077,1855.7,1804.1466708668672,1875,938,1452,365,1431,1029,2828,6845,272,1522
563909,11841.1,14389.482419114318,1374,12160,16698,19676,4328,959,567,2630,9651,50368
915749,397.2,318.2215580377923,953,76,317,68,383,128,780,228,842,197
612779,1833.0,939.3058074982822,1349,1557,1372,2765,673,2202,991,859,3503,3059
552977,6423.6,4482.609423092759,12402,8869,2953,5757,12810,1763,7680,10574,1043,385
750011,3415.8,2965.4855184269572,8942,4219,1808,276,7776,642,1933,5576,2787,199
822649,649.0,232.171488344284,941,445,729,299,620,1151,644,554,514,593
649133,3080.8,2700.8291985980895,807,4082,1659,3558,1060,3713,4885,912,9767,365
853751,1333.6,690.6972129667239,2272,400,2232,1541,883,221,1738,1404,794,1851
824851,4131.1,3160.9165268953248,799,7861,978,3394,2755,9888,300,7888,4081,3367
537601,10919.6,8728.99144460573,20826,15683,4584,3601,30823,10743,3806,7720,1461,9949
772883,2130.5,2579.167007000516,8031,146,529,807,1456,1501,235,6265,998,1337
880937,72.3,49.5278709415214,57,46,49,96,48,76,50,44,213,44
916243,926.4,767.5028599295249,179,1282,54,55,2330,1535,1660,1098,50,1021
677489,1123.5,1578.8622644170073,526,405,589,76,762,5526,426,574,2263,88
551687,2924.6,2386.117901529595,2148,2079,2216,1471,1441,3323,326,1735,8834,5673
855451,4561.6,3099.3638121395174,1679,10031,6565,5048,2747,1743,294,4334,9405,3770
606511,16907.9,19956.521437615324,9107,19244,1413,853,751,16819,7119,71949,20920,20904
756611,2291.3,1806.8840610288198,7243,2070,625,1176,1648,1482,2050,2813,2989,817
579727,1773.9,1856.634452443453,1663,2779,6864,1878,1104,426,1612,388,254,771
668683,2160.3,2227.5184421234317,212,1326,7707,917,3701,384,3051,441,622,3242
751903,510.6,423.59324829369035,153,959,706,329,1103,1229,241,93,60,233
583571,12600.5,10518.251644165965,4779,20111,14386,3106,12562,11307,39516,13368,2844,4026
723301,3990.3,2363.7221516075024,5491,2806,2454,639,1941,6523,1170,4856,7737,6286
536033,7202.0,4292.241605501722,8544,3025,1480,5860,14447,3764,15051,7965,6562,5322
582193,6397.6,4675.057116228635,9681,592,16521,8685,1125,5232,3085,2423,7077,9555
568697,7490.4,5065.34711939863,16792,7204,8948,6413,7959,1672,4299,16116,1506,3995
570319,10131.7,7789.4416109243675,4547,12412,6114,7005,2874,10488,3226,20947,5974,27730
568067,5130.0,3213.281749240175,2611,6860,7407,1497,8626,7532,2162,3477,10340,788
870767,1288.1,1062.550558797086,431,2401,209,1457,2174,989,356,494,746,3624
779689,5589.6,4451.3190674226,2307,3798,277,13011,11848,10975,6464,3396,1786,2034
671311,7546.4,4732.931949648125,18123,7883,2902,6392,3589,2272,12883,9363,3877,8180
665831,3321.8,4431.12116286612,529,2032,4938,463,1354,2659,1546,16118,2103,1476
721771,3534.2,2119.425290025577,5318,7206,455,4366,6382,3296,1297,2825,2476,1721
689627,1982.0,1555.9814908924848,2366,4470,1466,879,1627,5199,69,870,1898,976
600617,3257.6,2404.217968487882,3591,1736,5331,815,2766,1351,841,2950,4049,9146
544351,1925.7,2010.488947992503,643,389,2409,520,802,1141,5477,6103,1115,658
571247,2189.8,1113.9223312242195,2140,1552,2014,257,1661,2061,3167,4679,1557,2810
626039,1037.3,925.4917665760188,649,253,1106,607,232,147,867,2826,2749,937
1022117,194.3,119.16211646324516,91,334,23,359,89,346,207,82,142,270
527543,3017.7,2412.2843136744887,1261,2875,3232,354,3055,9410,972,3122,1749,4147
541873,895.0,642.6048552571012,826,696,337,684,2602,374,1253,967,954,257
555913,10781.5,5962.864735175535,5411,17862,21054,5850,12745,13040,6893,879,8767,15314
670907,2932.4,2007.7805756605976,1465,2353,4246,7339,4889,2016,3563,2107,1274,72
624647,7228.9,5851.292258125551,12903,13594,5677,1545,7731,19051,489,5007,776,5516
563729,14878.0,14357.454579416228,2076,5307,1304,16562,1944,33787,47452,16981,9678,13689
787687,47.3,65.4187282053083,23,22,203,9,15,12,10,148,13,18
563137,20701.0,14815.183731564048,40436,339,35813,15879,34839,2708,28006,11396,3494,34100
551987,6491.3,5021.095538824172,14058,6869,6187,3377,6591,480,766,2479,16414,7692
602579,12483.9,8300.292349670583,25844,27202,5562,11187,6902,16209,1855,4552,16166,9360
