223693,370.86,323.67940991048533,300,308,590,958,114,749,115,770,1269,85,337,1131,98,572,266,508,352,252,34,105,97,1256,99,348,447,230,105,208,102,488,634,484,515,715,163,214,105,277,891,165,264,2,190,11,779,242,103,27,78,391
132731,8265.04,7464.544060985909,512,32998,4262,5848,2863,2284,2983,6007,7709,17162,869,14778,2369,1225,3079,2836,4771,8431,11548,18774,10876,16110,161,1980,26385,2981,1996,12380,3381,2236,19320,13659,4678,7253,28619,1715,1788,8832,9714,1797,11721,7871,13898,14967,5012,13335,1810,7446,4675,5348
147167,5034.5,4296.9575992788195,3326,7723,1162,5330,10909,1977,9277,8633,7341,14363,7998,716,3140,11853,231,515,2490,1651,1203,1621,1996,3801,1759,1768,3768,3981,3504,3728,10722,4755,8538,3292,15970,3861,502,4682,4342,4281,791,1600,15697,814,4307,2947,3549,6353,8082,16793,2596,1487
196967,816.56,622.2063053361,341,841,497,264,1930,712,286,150,2341,270,1317,802,679,2321,1374,675,943,235,562,220,340,285,570,526,116,1062,1287,656,787,529,1848,2844,547,1170,620,497,1001,1943,471,391,242,1208,571,479,1457,208,797,856,305,455
249001,364.58,248.60145534569986,1051,276,162,452,463,502,642,761,307,200,196,274,232,330,797,542,203,118,419,810,95,128,671,127,85,185,293,309,131,88,188,783,703,106,77,123,574,854,434,500,409,145,101,114,243,562,370,272,194,628
169187,4707.32,3765.8720235292117,6509,1743,7736,11799,6677,1687,5737,1166,1073,820,1728,1783,9260,378,7906,7362,1957,1051,5280,1630,5244,434,3972,3998,3335,1262,981,372,6284,17238,13063,2522,11758,6089,8867,3178,1860,5821,3646,9230,5051,1635,2285,2176,2192,2142,5530,3972,7731,10216
158497,2641.62,1965.9320322940973,404,2099,3044,1102,1324,1560,4000,3277,713,2000,945,1788,3196,2130,9582,428,836,2347,1127,5656,2583,6477,3869,1825,129,4426,1626,3019,801,961,4194,2078,6443,870,2360,2369,1350,2803,5173,7303,2311,1020,3016,1730,4156,1296,1146,634,4846,3709
160801,3958.12,4235.071152365684,1938,2817,2818,3558,6929,3659,3240,2255,18295,16331,1754,12910,2589,649,4033,6144,562,2138,2734,1920,1361,1246,2580,1066,5455,372,4314,1068,866,8697,4826,5183,3780,17804,1090,8290,953,586,4656,603,535,4558,2776,946,794,7695,2401,3344,999,1789
206881,284.22,283.77570650075035,85,85,175,79,70,81,243,75,290,322,358,161,143,388,210,1448,568,177,124,486,78,177,123,85,69,363,178,70,424,73,85,300,628,88,172,81,243,561,340,67,552,694,1168,831,99,424,81,91,425,73
174283,533.06,272.96801351074083,475,422,876,492,886,721,1240,569,754,581,168,170,595,297,662,541,713,403,378,670,692,271,352,660,385,299,328,740,122,589,1278,1108,517,556,261,345,243,403,199,216,1002,707,487,316,780,757,415,132,609,271
134689,6221.12,4759.625714864563,8225,5302,2698,8839,8435,10818,4091,3314,15463,1850,2146,13562,3691,484,11984,9188,4811,1415,11867,7001,9464,1768,965,1823,8565,6451,4512,9075,3643,4830,11877,5177,371,18942,6857,703,17559,10343,6400,5246,1070,14294,1186,1262,2692,2733,1368,10747,5735,214
151457,3921.3,3625.4521276662863,9295,986,8223,3046,3441,1709,2837,668,3881,9473,5886,7202,3673,4412,4300,458,5982,1966,2665,3051,6201,8868,4894,3717,20036,2505,3932,2437,5300,425,5091,4535,1182,6622,128,1211,206,12997,352,3378,360,1341,291,3367,479,4069,1554,2799,3410,1224
140537,2904.4,2256.380420053321,172,8362,1118,1700,1915,9779,1461,4303,1143,677,838,5219,2531,1238,3850,1392,2390,4618,2885,1185,514,736,2346,2848,518,1058,1256,3831,3459,5607,1775,2086,1904,2318,1727,7228,2075,2690,1573,3540,5496,1529,7365,4820,533,3618,4873,554,2627,7940
