x_val,"4,5;11,12;25_22.csv","4,5;11,12;28_24.csv","4,5;11,12;31_26.csv","4,5;11,12;33_34.csv","4,5;11,12;34_28.csv","4,5;11,12;37_30.csv","4,5;11,12;40_32.csv","4,5;11,12;46_36.csv","4,5;11,12;49_38.csv","4,5;11,12;52_40.csv",4-5_11-12_58_44.csv
0.0,2.4694869974220255e-05,3.3430807131373915e-10,1.1925637796573309e-12,2.0244788958006373e-52,2.0707899376526515e-43,3.3234542315968477e-57,1.8960897276214342e-75,1.4337390961542852e-36,1.370927752490232e-48,4.140084906026276e-74,1.5318089862444757e-05
0.012012012012012012,3.259634194781246e-05,5.782935800061846e-10,2.015029819102279e-12,3.969689901907996e-52,5.4297059184676815e-43,9.418198537527254e-57,5.855197360979781e-75,2.1630578794102495e-36,2.2161383529918018e-48,7.945142239142358e-74,1.5714833700046176e-05
0.024024024024024024,4.254347160024356e-05,9.902221878833695e-10,3.382202689740034e-12,7.768564356761983e-52,1.416530202788302e-42,2.657311375420821e-56,1.801188460182357e-74,3.2598592087243234e-36,3.578553132776423e-48,1.5227690771275183e-73,1.612126734971715e-05
0.036036036036036036,5.490365909396104e-05,1.678416404184043e-09,5.63944490562103e-12,1.5172802678148843e-51,3.6769242875928083e-42,7.464720539028025e-56,5.519652514504673e-74,4.907521796914486e-36,5.772266425169142e-48,2.914783920404831e-73,1.6537611547192634e-05
0.04804804804804805,7.006109539966016e-05,2.8161096791884878e-09,9.340969778292103e-12,2.957547364414934e-51,9.496266698606517e-42,2.087763001310839e-55,1.6849975925072314e-73,7.38003329992627e-36,9.300655645224205e-48,5.572096444671207e-73,1.6964091642734785e-05
0.06006006006006006,8.840229832839035e-05,4.677159844474288e-09,1.5369749479755354e-11,5.753584075665404e-51,2.4402287307476583e-41,5.813603556899639e-55,5.124149551186561e-73,1.1086311988507623e-35,1.4969560857845602e-47,1.0638265586455592e-72,1.7400937687337275e-05
0.07207207207207207,0.00011029755131623056,7.68949234325013e-09,2.5122403251569933e-11,1.117084627914593e-50,6.239038083392172e-41,1.6117817645820694e-54,1.5523129235664632e-72,1.6635986590990963e-35,2.406760381454116e-47,2.0284437820380538e-72,1.784838452029744e-05
0.08408408408408408,0.0001360785733293113,1.2513994199341859e-08,4.079205044705711e-11,2.164584499019736e-50,1.5871364112418755e-40,4.4490133510761775e-54,4.68459138281111e-72,2.4936914579081014e-35,3.8653154779160686e-47,3.86273635626532e-72,1.8306671858172412e-05
0.0960960960960961,0.00016601317955746708,2.0159375401112438e-08,6.579763282139173e-11,4.186044773314568e-50,4.017172144454588e-40,1.2226942330056562e-53,1.4083127874512287e-71,3.7339591653213076e-35,6.20105147115453e-47,7.346273663345748e-72,1.8776044385135044e-05
0.10810810810810811,0.00020027816113189995,3.2147045142213875e-08,1.0543039568755212e-10,8.079305884179282e-50,1.0116638935962696e-39,3.3455593641923928e-53,4.21756219622982e-71,5.58507618122284e-35,9.937428683975914e-47,1.3953369089942783e-71,1.9256751844746928e-05
0.12012012012012012,0.0002389320741435525,5.0744378858458776e-08,1.6781961790398343e-10,1.5562705145595198e-49,2.5349052432241374e-39,9.114154322724707e-53,1.2582265204131619e-70,8.344903695484619e-35,1.5907832597488654e-46,2.6468602140391016e-71,1.974904913316407e-05
0.13213213213213212,0.0002818900295728311,7.928987789758441e-08,2.65363675940725e-10,2.991830493403115e-49,6.319706843678077e-39,2.47207029131465e-52,3.739307149688958e-70,1.2455072141564117e-34,2.5437609596871155e-46,5.014445020665213e-71,2.0253196393791902e-05
0.14414414414414414,0.0003289028565752535,1.2263954409114337e-07,4.1683353383117836e-10,5.740235839760851e-49,1.5676240293887998e-38,6.675781184139399e-52,1.1070275047027661e-69,1.8569655901593028e-34,4.0632157353243665e-46,9.487563298133818e-71,2.07694591134063e-05
0.15615615615615616,0.00037954311323693186,1.8777005285825542e-07,6.50439451983124e-10,1.0991661469997495e-48,3.868982092519693e-38,1.7948999758041965e-51,3.264830577082441e-69,2.7656304980849064e-34,6.483235002197279e-46,1.7927777074345574e-70,2.1298108219757068e-05
0.16816816816816815,0.0004332002919794155,2.845805521862462e-07,1.0082652982850321e-09,2.100573145741396e-48,9.500826969186013e-38,4.804800194816579e-51,9.591750069481742e-69,4.114500750008522e-34,1.0333369159187257e-45,3.383281583157598e-70,2.183942018067032e-05
0.18018018018018017,0.0004890871795378253,4.269404224975385e-07,1.5526272715123962e-09,4.0063891455007703e-48,2.3213254483109312e-37,1.2805819537373877e-50,2.8071784783223457e-68,6.114667222447049e-34,1.645206527647681e-45,6.376609043123041e-70,2.2393677104666627e-05
0.1921921921921922,0.000546258677536589,6.340340789239996e-07,2.3751160183076373e-09,7.626219633391537e-48,5.643137659337568e-37,3.398102141937941e-50,8.184217541343469e-68,9.077394240586231e-34,2.6165389347828527e-45,1.2002767164547442e-69,2.2961166843111734e-05
0.2042042042042042,0.0006036434937442853,9.320545243892063e-07,3.6093460502121103e-09,1.4487930149932784e-47,1.3649454618240885e-36,8.977647116468587e-50,2.3769457582501975e-67,1.3461152970312616e-33,4.1568301317999e-45,2.2563835098903175e-69,2.3542183093916208e-05
0.21621621621621623,0.0006600880338026628,1.3562931861995678e-06,5.448779170212669e-09,2.7469087632479605e-47,3.284884089492138e-36,2.361487908713564e-49,6.876957584860457e-67,1.9940498533648957e-33,6.596683562738522e-45,4.2362774669351076e-69,2.4137025506800932e-05
0.22822822822822822,0.000714410647342053,1.9536626452139118e-06,8.171426356635253e-09,5.197840909201269e-47,7.86565604481979e-36,6.184520884960112e-49,1.9820216241350386e-66,2.9506823230834935e-33,1.0457245998938739e-44,7.943205955331983e-69,2.4745999790145514e-05
0.24024024024024024,0.0007654632240974255,2.7856691201090674e-06,1.2173783755732873e-08,9.816181673569756e-47,1.8739588882423748e-35,1.6125885751906282e-48,5.690565145708348e-66,4.36155736122976e-33,1.6559121614897288e-44,1.4874665016263191e-68,2.5369417819436127e-05
0.25225225225225223,0.0008121961216963025,3.931821012996279e-06,1.801704226225767e-08,1.8501334228856864e-46,4.442172585166733e-35,4.1863769129698056e-48,1.6275613928344219e-65,6.440111887419784e-33,2.61930194408801e-44,2.7818807543758903e-68,2.6007597747329624e-05
0.26426426426426425,0.0008537216635094169,5.493416867864402e-06,2.6489445074844297e-08,3.4802013143668475e-46,1.047710057075194e-34,1.0820575296313806e-47,4.637183998326761e-65,9.499000868667022e-33,4.1386827148226505e-44,5.196007524043363e-68,2.6660864115350853e-05
0.27627627627627627,0.000889371082556272,7.597599945480676e-06,3.8689669414953885e-08,6.533509715327476e-46,2.4586526102918815e-34,2.7845800055476086e-47,1.3161526034477111e-64,1.3995716370069988e-32,6.532313202883005e-44,9.692615347112667e-68,2.7329547967240504e-05
0.2882882882882883,0.0009187398848995236,1.0401497737275653e-05,5.613728782931965e-08,1.2241357246695679e-45,5.740684200849783e-34,7.134547301838222e-47,3.7212867420647764e-64,2.0598947400099784e-32,1.0299121089327277e-43,1.8057271601383666e-67,2.801398696396936e-05
0.3003003003003003,0.0009417171983678211,1.4096185320837616e-05,8.091772299615727e-08,2.2890404128233825e-45,1.3336461881148321e-33,1.8199965477477016e-46,1.0481296204621728e-63,3.0285002588089365e-32,1.622040252366473e-43,3.359721111641051e-67,2.871452550043674e-05
0.3123123123123123,0.0009584957430475527,1.8910125864493097e-05,1.158706366575968e-07,4.271871737689896e-45,3.0826778446437956e-33,4.622449526267692e-46,2.940842892004794e-63,4.4477758475166563e-32,2.5518279442044342e-43,6.24301347294997e-67,2.9431514823869882e-05
0.32432432432432434,0.0009695605379738308,2.5111656652904964e-05,1.6483235927729038e-07,7.956531850576553e-45,7.089673795544748e-33,1.1688837271682134e-45,8.21984492922303e-63,6.525155411491624e-32,4.010231544758177e-43,1.158577958346797e-66,3.0165313153940767e-05
0.3363363363363363,0.0009756562233840445,3.3010014106108795e-05,2.3294471995424115e-07,1.4790071151829124e-44,1.6223143946500192e-32,2.9428492804825154e-45,2.2887080470160355e-62,9.56250153979209e-32,6.295290956393466e-43,2.1473171745229587e-66,3.091628580461754e-05
0.3483483483483483,0.000977734770372936,4.295433805639973e-05,3.270443944929742e-07,2.743832384331001e-44,3.69363948458711e-32,7.376703914918122e-45,6.348222509984835e-62,1.399860847286823e-31,9.871666249126999e-43,3.974724937417133e-66,3.168480530776747e-05
0.36036036036036034,0.0009768871873078939,5.533007728527919e-05,4.5614853699396744e-07,5.080257767287903e-44,8.367288791682037e-32,1.8410024296369103e-44,1.7540778211626337e-61,2.047061575127257e-31,1.546298800518542e-42,7.347809831278188e-66,3.247125153852817e-05
0.37237237237237236,0.0009742644285300903,7.055224871355165e-05,6.320538409247374e-07,9.387604318307015e-44,1.8859311920536772e-31,4.574504952890253e-44,4.828147695275492e-61,2.990264715836553e-31,2.4194946855134203e-42,1.3565902219822152e-65,3.32760118424638e-05
0.3843843843843844,0.0009709938956483113,8.905509424056938e-05,8.7006709063341e-07,1.7312694289429814e-43,4.229390810607652e-31,1.1317008134064653e-43,1.323875697945143e-60,4.363360109330546e-31,3.781675190628563e-42,2.5013784480182843e-65,3.409948116452323e-05
0.3963963963963964,0.0009680985603701551,0.00011127784148443997,1.189885471671222e-06,3.1865108461355593e-43,9.437147413406192e-31,2.7875135974850393e-43,3.61617006861975e-60,6.36011792438981e-31,5.904349740072645e-42,4.606277219009325e-65,3.494206217981705e-05
0.4084084084084084,0.0009664257461610972,0.00013764651174240749,1.6166441260450442e-06,5.853383762600644e-43,2.095147812081374e-30,6.835971725528252e-43,9.839781596769701e-60,9.260660644204258e-31,9.208485814355184e-42,8.471507237553437e-65,3.5804165426229747e-05
0.42042042042042044,0.0009665919605370644,0.00016855202714711234,2.1821463526068447e-06,1.0730981658054117e-42,4.6280672707437415e-30,1.6690966080395924e-42,2.6672089879921705e-59,1.3469499613497272e-30,1.434606091281376e-41,1.5560059304240432e-64,3.668620943888375e-05
0.43243243243243246,0.0009689489111302245,0.000204325236929681,2.9262881312020166e-06,1.9634179777923004e-42,1.0171752502868175e-29,4.057520313400545e-42,7.20217398985948e-59,1.957012704777456e-30,2.2325717033535018e-41,2.854314059185813e-64,3.758862088647272e-05
0.4444444444444444,0.0009735740684916103,0.0002452098875615851,3.898682962638417e-06,3.585311800696307e-42,2.2243498362791015e-29,9.820599516958082e-42,1.9373368898544247e-58,2.8403281534941962e-30,3.4706151630765927e-41,5.229163399158468e-64,3.8511834709479465e-05
0.45645645645645644,0.0009802870101249734,0.00029133497107663,5.160485066144885e-06,6.53404249292515e-42,4.8397357157888095e-29,2.3665377068472996e-41,5.191366194053179e-58,4.117902718945215e-30,5.3893427194808e-41,9.567591321322319e-64,3.945629426029592e-05
0.46846846846846846,0.000988690483569051,0.00034268825940376497,6.786398527925544e-06,1.1884415718381692e-41,1.0477351361239647e-28,5.677890937809648e-41,1.385776393930738e-57,5.9637075374082894e-30,8.359752942625722e-41,1.748287962099428e-63,4.042245144526109e-05
0.4804804804804805,0.0009982328701456477,0.00039909312395766086,8.866846920215266e-06,2.1573200126235802e-41,2.2567982588535417e-28,1.35630984792183e-40,3.685018156542044e-57,8.627585712709092e-30,1.2953268920140927e-40,3.190533184058569e-63,4.141076686863387e-05
0.4924924924924925,0.0010082867226188456,0.0004601909018418867,1.1510262230903133e-05,3.9083384578235135e-41,4.836658194873698e-28,3.2257380524638138e-40,9.761601724260697e-57,1.246794616610991e-29,2.0049041711875485e-40,5.815050794293753e-63,4.2421709978516e-05
0.5045045045045045,0.0010182364758949485,0.0005254310599930027,1.4845433874569928e-05,7.066601748921891e-41,1.0313582490959577e-27,7.638316614914854e-40,2.5759505212884284e-56,1.7998372871832735e-29,3.099817710666658e-40,1.058482561284705e-62,4.345575921474237e-05
0.5165165165165165,0.0010275674382059367,0.0005940711939809748,1.9023838547543865e-05,1.27517539319431e-40,2.188191105112261e-27,1.800796574459807e-39,6.771563109760365e-56,2.595399770205461e-29,4.7874801856232445e-40,1.924216127246141e-62,4.4513402158754444e-05
0.5285285285285285,0.0010359478574003434,0.0006651884627374997,2.4221850461670594e-05,2.2965192352709193e-40,4.619261665285895e-27,4.2269796901083056e-39,1.77327187397781e-55,3.738591114352274e-29,7.385945899135841e-40,3.493525692494224e-62,4.559513568547236e-05
0.5405405405405406,0.0010432962592613615,0.0007377034089975037,3.064271005054584e-05,4.127728345140808e-40,9.702229792192599e-27,9.878573558557827e-39,4.625904938890673e-55,5.379530418981869e-29,1.1382392392680034e-39,6.334523934205651e-62,4.6701466117182e-05
0.5525525525525525,0.0010498273454196965,0.0008104162765129914,3.851810888073291e-05,7.404453066192292e-40,2.027600022454501e-26,2.2985658690386e-38,1.2021345128425931e-54,7.732384763106236e-29,1.7522226209070918e-39,1.1471071058024115e-61,4.783290937945276e-05
0.5645645645645646,0.0010560714305278083,0.0008820549623837388,4.810923077146934e-05,1.3256098371151855e-39,4.2160409415296654e-26,5.324984841626114e-38,3.1120345675503274e-54,1.110235821697454e-28,2.694469739400429e-39,2.07459777399613e-61,4.898999115910137e-05
0.5765765765765766,0.0010628645529423993,0.0009513327112861344,5.970707578587483e-05,2.3685322827027384e-39,8.722464610752807e-26,1.228226811380955e-37,8.025474971804379e-54,1.5923909680856336e-28,4.138906702309463e-39,3.747173432320702e-61,5.0173247064217625e-05
0.5885885885885885,0.001071308831499208,0.001017012659371863,7.363188667730131e-05,4.223609473399778e-39,1.7955005391651762e-25,2.820574768844165e-37,2.0617312984411113e-53,2.281481051446977e-28,6.350768199490614e-39,6.759485335558934e-61,5.138322278626668e-05
0.6006006006006006,0.0010827051598873369,0.0010779754684668483,9.023149842629229e-05,7.516731870424273e-39,3.6774252553007854e-25,6.4490475074295764e-37,5.276286517581815e-53,3.265252098516993e-28,9.734086125695454e-39,1.2177647978394372e-60,5.2620474264284516e-05
0.6126126126126126,0.0010984627189166158,0.0011332856528636084,0.00010987844240809698,1.3351043745361846e-38,7.494009218877155e-25,1.4680894717773508e-36,1.3451157787854116e-52,4.668197900083603e-28,1.4903641866071327e-38,2.1910543514676575e-60,5.38855678511799e-05
0.6246246246246246,0.001119991844443851,0.0011822518749177136,0.00013296565889475335,2.3666946858722806e-38,1.5194860234178811e-24,3.327426979219362e-36,3.4160636471453664e-52,6.66675493664645e-28,2.2793862585513315e-38,3.937157930501174e-60,5.517908048215844e-05
0.6366366366366366,0.0011485883393104338,0.0012244765312370313,0.00015990070593747255,4.187068914784645e-38,3.065429823769727e-24,7.508681423298281e-36,8.642258092195134e-52,9.510698494873305e-28,3.482344591270501e-38,7.065655701388279e-60,5.650159984528451e-05
0.6486486486486487,0.0011853182253758546,0.0012598903952384533,0.00019109839945564416,7.39296821423934e-38,6.153161205389956e-24,1.6870114655596228e-35,2.1780282229851362e-51,1.3553236835598298e-27,5.314395364647945e-38,1.2663742076357596e-59,5.785372455419337e-05
